"Code","Name","Sector","Source"
"BEER","PT Jobubu Jarum Minahasa Tbk","Consumer Staples","stockanalysis:company"
"BEKS","PT. Bank Pembangunan Daerah Banten, Tbk","Financials","stockanalysis:company"
"BELI","PT Global Digital Niaga Tbk","Consumer Discretionary","stockanalysis:company"
"BELL","PT Trisula Textile Industries Tbk","Consumer Discretionary","stockanalysis:company"
"BESS","PT Batulicin Nusantara Maritim Tbk","Industrials","stockanalysis:company"
"BEST","PT Bekasi Fajar Industrial Estate Tbk","Real Estate","stockanalysis:company"
"BFIN","PT BFI Finance Indonesia Tbk","Financials","stockanalysis:company"
"BGTG","PT Bank Ganesha Tbk","Financials","stockanalysis:company"
"BHAT","PT Bhakti Multi Artha Tbk","Financials","stockanalysis:company"
"BHIT","PT MNC Asia Holding Tbk","Communication Services","stockanalysis:company"
"BIKE","PT Sepeda Bersama Indonesia Tbk","Consumer Discretionary","stockanalysis:company"
"BIMA","PT. Primarindo Asia Infrastructure, Tbk.","Consumer Discretionary","stockanalysis:company"
"BINA","PT Bank Ina Perdana Tbk","Financials","stockanalysis:company"
"BINO","PT Perma Plasindo Tbk","Industrials","stockanalysis:company"
"BIPI","PT Astrindo Nusantara Infrastruktur Tbk","Industrials","stockanalysis:company"
"BIPP","PT Bhuwanatala Indah Permai Tbk","Real Estate","stockanalysis:company"
"BIRD","PT Blue Bird Tbk","Industrials","stockanalysis:company"
"BISI","PT BISI International Tbk","Materials","stockanalysis:company"
"BJBR","PT Bank Pembangunan Daerah Jawa Barat dan Banten Tbk","Financials","stockanalysis:company"
"BJTM","PT Bank Pembangunan Daerah Jawa Timur Tbk","Financials","stockanalysis:company"
"BKDP","PT Bukit Darmo Property Tbk","Real Estate","stockanalysis:company"
"BKSL","PT Sentul City Tbk","Real Estate","stockanalysis:company"
"BKSW","PT Bank QNB Indonesia Tbk","Financials","stockanalysis:company"
"BLES","PT Superior Prima Sukses Tbk","Materials","stockanalysis:company"
"BLOG","PT Trimitra Trans Persada Tbk","Industrials","stockanalysis:company"
"BLTA","PT Berlian Laju Tanker Tbk","Industrials","stockanalysis:company"
"BLTZ","PT Graha Layar Prima Tbk","Communication Services","stockanalysis:company"
"BLUE","PT Berkah Prima Perkasa Tbk","Technology","stockanalysis:company"
"BMAS","PT Bank Maspion Indonesia Tbk","Financials","stockanalysis:company"
"BMBL","PT Lavender Bina Cendikia Tbk","Consumer Staples","stockanalysis:company"
"BMHS","PT Bundamedik Tbk","Healthcare","stockanalysis:company"
"BMRI","PT Bank Mandiri (Persero) Tbk","Financials","stockanalysis:company"
"BMSR","PT Bintang Mitra Semestaraya Tbk","Materials","stockanalysis:company"
"BMTR","PT Global Mediacom Tbk","Communication Services","stockanalysis:company"
"BNBA","PT Bank Bumi Arta Tbk","Financials","stockanalysis:company"
"BNBR","PT Bakrie & Brothers Tbk","Industrials","stockanalysis:company"
"BNGA","PT Bank CIMB Niaga Tbk","Financials","stockanalysis:company"
"BNII","PT Bank Maybank Indonesia Tbk","Financials","stockanalysis:company"
"BNLI","PT Bank Permata Tbk","Financials","stockanalysis:company"
"BOAT","PT Newport Marine Services TBK","Energy","stockanalysis:company"
"BOBA","PT Formosa Ingredient Factory Tbk","Consumer Staples","stockanalysis:company"
"BOGA","PT Apollo Global Interactive Tbk","Consumer Discretionary","stockanalysis:company"
"BOLA","PT Bali Bintang Sejahtera Tbk","Communication Services","stockanalysis:company"
"BOLT","PT Garuda Metalindo Tbk","Industrials","stockanalysis:company"
"BPFI","PT Woori Finance Indonesia Tbk","Financials","stockanalysis:company"
"BPII","PT Batavia Prosperindo Internasional Tbk","Financials","stockanalysis:company"
"BPTR","PT Batavia Prosperindo Trans Tbk","Industrials","stockanalysis:company"
"BRAM","PT Indo Kordsa Tbk","Consumer Discretionary","stockanalysis:company"
"BREN","PT Barito Renewables Energy Tbk","Utilities","stockanalysis:company"
"BRIS","PT Bank Syariah Indonesia Tbk","Financials","stockanalysis:company"
"BRMS","PT Bumi Resources Minerals Tbk","Materials","stockanalysis:company"
